Frequency (MHz),Power (dB),Timestamp
87.5,-27.93,2026-06-09 17:54:21
87.7,-27.92,2026-06-09 17:54:21
87.9,-27.92,2026-06-09 17:54:21
88.1,-27.92,2026-06-09 17:54:21
88.3,-27.92,2026-06-09 17:54:21
88.5,-27.93,2026-06-09 17:54:21
88.7,-27.93,2026-06-09 17:54:21
88.9,-27.93,2026-06-09 17:54:21
89.1,-27.92,2026-06-09 17:54:21
89.3,-27.92,2026-06-09 17:54:21
89.5,-27.93,2026-06-09 17:54:21
89.7,-27.94,2026-06-09 17:54:21
89.9,-27.93,2026-06-09 17:54:21
90.1,-27.92,2026-06-09 17:54:21
90.3,-27.93,2026-06-09 17:54:21
90.5,-27.93,2026-06-09 17:54:21
90.7,-27.92,2026-06-09 17:54:21
90.9,-27.92,2026-06-09 17:54:21
91.1,-27.95,2026-06-09 17:54:21
91.3,-27.95,2026-06-09 17:54:21
91.5,-27.93,2026-06-09 17:54:21
91.7,-27.92,2026-06-09 17:54:21
91.9,-27.93,2026-06-09 17:54:21
92.1,-27.92,2026-06-09 17:54:21
92.3,-27.94,2026-06-09 17:54:21
92.5,-27.95,2026-06-09 17:54:21
92.7,-27.94,2026-06-09 17:54:21
92.9,-27.93,2026-06-09 17:54:21
93.1,-27.93,2026-06-09 17:54:21
93.3,-27.93,2026-06-09 17:54:21
93.5,-27.93,2026-06-09 17:54:21
93.7,-27.94,2026-06-09 17:54:21
94.1,-27.93,2026-06-09 17:54:21
94.3,-27.93,2026-06-09 17:54:21
94.5,-27.94,2026-06-09 17:54:21
94.7,-27.93,2026-06-09 17:54:21
94.9,-27.92,2026-06-09 17:54:21
95.1,-27.94,2026-06-09 17:54:21
95.3,-27.93,2026-06-09 17:54:21
95.5,-27.94,2026-06-09 17:54:21
95.7,-27.94,2026-06-09 17:54:21
95.9,-27.94,2026-06-09 17:54:21
96.1,-27.94,2026-06-09 17:54:21
96.3,-27.94,2026-06-09 17:54:21
96.5,-27.99,2026-06-09 17:54:21
96.7,-27.96,2026-06-09 17:54:21
96.9,-27.94,2026-06-09 17:54:21
97.1,-27.92,2026-06-09 17:54:21
97.3,-27.94,2026-06-09 17:54:21
97.5,-27.94,2026-06-09 17:54:21
97.7,-27.93,2026-06-09 17:54:21
97.9,-27.94,2026-06-09 17:54:21
98.1,-27.94,2026-06-09 17:54:21
98.3,-27.92,2026-06-09 17:54:21
98.5,-27.94,2026-06-09 17:54:21
98.7,-27.93,2026-06-09 17:54:21
98.9,-27.99,2026-06-09 17:54:21
99.1,-28.0,2026-06-09 17:54:21
99.3,-27.94,2026-06-09 17:54:21
99.5,-27.92,2026-06-09 17:54:21
99.7,-27.91,2026-06-09 17:54:21
99.9,-27.92,2026-06-09 17:54:21
100.1,-27.94,2026-06-09 17:54:21
100.3,-27.93,2026-06-09 17:54:21
101.3,-27.92,2026-06-09 17:54:21
101.5,-27.93,2026-06-09 17:54:21
101.7,-27.94,2026-06-09 17:54:21
101.9,-27.94,2026-06-09 17:54:21
102.1,-27.95,2026-06-09 17:54:21
102.3,-27.93,2026-06-09 17:54:21
102.5,-27.94,2026-06-09 17:54:21
102.7,-27.93,2026-06-09 17:54:21
102.9,-27.94,2026-06-09 17:54:21
103.1,-27.95,2026-06-09 17:54:21
103.3,-27.94,2026-06-09 17:54:21
103.5,-27.93,2026-06-09 17:54:21
103.7,-27.95,2026-06-09 17:54:21
103.9,-27.93,2026-06-09 17:54:21
104.1,-28.05,2026-06-09 17:54:21
104.3,-27.95,2026-06-09 17:54:21
104.5,-27.92,2026-06-09 17:54:21
104.7,-27.93,2026-06-09 17:54:21
104.9,-27.94,2026-06-09 17:54:21
105.1,-27.93,2026-06-09 17:54:21
105.3,-27.93,2026-06-09 17:54:21
105.5,-27.93,2026-06-09 17:54:21
105.7,-27.93,2026-06-09 17:54:21
105.9,-27.92,2026-06-09 17:54:21
106.1,-27.93,2026-06-09 17:54:21
106.3,-27.92,2026-06-09 17:54:21
106.5,-27.94,2026-06-09 17:54:21
106.7,-27.98,2026-06-09 17:54:21
106.9,-27.93,2026-06-09 17:54:21
107.1,-27.91,2026-06-09 17:54:21
107.3,-27.92,2026-06-09 17:54:21
107.5,-27.93,2026-06-09 17:54:21
