Frequency (MHz),Power (dB),Timestamp
92.75,-8.32,2026-06-11 18:43:06
92.7502,1.84,2026-06-11 18:43:06
92.7503,-1.74,2026-06-11 18:43:06
92.7505,-6.9,2026-06-11 18:43:06
92.7506,3.97,2026-06-11 18:43:06
92.7508,-0.95,2026-06-11 18:43:06
92.7509,-7.22,2026-06-11 18:43:06
92.7511,-10.31,2026-06-11 18:43:06
92.7512,-3.93,2026-06-11 18:43:06
92.7514,2.39,2026-06-11 18:43:06
92.7515,-2.2,2026-06-11 18:43:06
92.7517,2.12,2026-06-11 18:43:06
92.7518,-7.0,2026-06-11 18:43:06
92.752,-0.45,2026-06-11 18:43:06
92.7521,-4.32,2026-06-11 18:43:06
92.7523,-3.96,2026-06-11 18:43:06
92.7524,-4.68,2026-06-11 18:43:06
92.7526,-3.3,2026-06-11 18:43:06
92.7527,-4.86,2026-06-11 18:43:06
92.7529,0.14,2026-06-11 18:43:06
92.7531,-10.49,2026-06-11 18:43:06
92.7532,-3.69,2026-06-11 18:43:06
92.7534,-5.77,2026-06-11 18:43:06
92.7535,-5.34,2026-06-11 18:43:06
92.7537,0.54,2026-06-11 18:43:06
92.7538,-1.23,2026-06-11 18:43:06
92.754,-1.36,2026-06-11 18:43:06
92.7541,0.69,2026-06-11 18:43:06
92.7543,0.19,2026-06-11 18:43:06
92.7544,-1.23,2026-06-11 18:43:06
92.7546,0.92,2026-06-11 18:43:06
92.7547,0.61,2026-06-11 18:43:06
92.7549,-4.95,2026-06-11 18:43:06
92.755,-4.59,2026-06-11 18:43:06
92.7552,-5.29,2026-06-11 18:43:06
92.7553,6.05,2026-06-11 18:43:06
92.7555,-6.96,2026-06-11 18:43:06
92.7556,-3.68,2026-06-11 18:43:06
92.7558,2.67,2026-06-11 18:43:06
92.756,-11.43,2026-06-11 18:43:06
92.7561,1.24,2026-06-11 18:43:06
92.7563,2.72,2026-06-11 18:43:06
92.7564,-17.97,2026-06-11 18:43:06
92.7566,-1.24,2026-06-11 18:43:06
92.7567,-14.08,2026-06-11 18:43:06
92.7569,-0.37,2026-06-11 18:43:06
92.757,-13.82,2026-06-11 18:43:06
92.7572,-1.73,2026-06-11 18:43:06
92.7573,2.44,2026-06-11 18:43:06
92.7575,-0.97,2026-06-11 18:43:06
92.7576,-15.33,2026-06-11 18:43:06
92.7578,0.04,2026-06-11 18:43:06
92.7579,-5.18,2026-06-11 18:43:06
92.7581,-0.89,2026-06-11 18:43:06
92.7582,-1.43,2026-06-11 18:43:06
92.7584,1.33,2026-06-11 18:43:06
92.7585,0.94,2026-06-11 18:43:06
92.7587,-0.23,2026-06-11 18:43:06
92.7589,-3.64,2026-06-11 18:43:06
92.759,-1.47,2026-06-11 18:43:06
92.7592,-13.35,2026-06-11 18:43:06
92.7593,-1.44,2026-06-11 18:43:06
92.7595,-0.86,2026-06-11 18:43:06
92.7596,-6.97,2026-06-11 18:43:06
92.7598,-2.18,2026-06-11 18:43:06
92.7599,-3.36,2026-06-11 18:43:06
92.7601,3.23,2026-06-11 18:43:06
92.7602,0.1,2026-06-11 18:43:06
92.7604,-8.01,2026-06-11 18:43:06
92.7605,-5.8,2026-06-11 18:43:06
92.7607,-8.05,2026-06-11 18:43:06
92.7608,-5.9,2026-06-11 18:43:06
92.761,-0.02,2026-06-11 18:43:06
92.7611,-1.71,2026-06-11 18:43:06
92.7613,-22.65,2026-06-11 18:43:06
92.7614,0.79,2026-06-11 18:43:06
92.7616,3.55,2026-06-11 18:43:06
92.7617,3.3,2026-06-11 18:43:06
92.7619,2.71,2026-06-11 18:43:06
92.7621,-2.28,2026-06-11 18:43:06
92.7622,-7.94,2026-06-11 18:43:06
92.7624,4.48,2026-06-11 18:43:06
92.7625,-7.09,2026-06-11 18:43:06
92.7627,0.49,2026-06-11 18:43:06
92.7628,0.99,2026-06-11 18:43:06
92.763,-3.99,2026-06-11 18:43:06
92.7631,-4.87,2026-06-11 18:43:06
92.7633,-4.9,2026-06-11 18:43:06
92.7634,3.28,2026-06-11 18:43:06
92.7636,-7.9,2026-06-11 18:43:06
92.7637,2.26,2026-06-11 18:43:06
92.7639,-7.14,2026-06-11 18:43:06
92.764,1.52,2026-06-11 18:43:06
92.7642,3.59,2026-06-11 18:43:06
92.7643,-3.08,2026-06-11 18:43:06
92.7645,4.76,2026-06-11 18:43:06
92.7646,-13.63,2026-06-11 18:43:06
92.7648,-1.06,2026-06-11 18:43:06
92.765,4.64,2026-06-11 18:43:06
92.7651,-2.31,2026-06-11 18:43:06
92.7653,0.72,2026-06-11 18:43:06
92.7654,-5.78,2026-06-11 18:43:06
92.7656,-8.37,2026-06-11 18:43:06
92.7657,5.77,2026-06-11 18:43:06
92.7659,3.14,2026-06-11 18:43:06
92.766,2.3,2026-06-11 18:43:06
92.7662,-2.7,2026-06-11 18:43:06
92.7663,-10.93,2026-06-11 18:43:06
92.7665,-6.58,2026-06-11 18:43:06
92.7666,0.57,2026-06-11 18:43:06
92.7668,-6.93,2026-06-11 18:43:06
92.7669,-2.69,2026-06-11 18:43:06
92.7671,-2.3,2026-06-11 18:43:06
92.7672,-0.59,2026-06-11 18:43:06
92.7674,-8.33,2026-06-11 18:43:06
92.7675,-2.46,2026-06-11 18:43:06
92.7677,1.12,2026-06-11 18:43:06
92.7679,-1.84,2026-06-11 18:43:06
92.768,-2.02,2026-06-11 18:43:06
92.7682,3.27,2026-06-11 18:43:06
92.7683,-9.47,2026-06-11 18:43:06
92.7685,4.48,2026-06-11 18:43:06
92.7686,-7.26,2026-06-11 18:43:06
92.7688,1.52,2026-06-11 18:43:06
92.7689,0.06,2026-06-11 18:43:06
92.7691,-4.25,2026-06-11 18:43:06
92.7692,-4.61,2026-06-11 18:43:06
92.7694,0.31,2026-06-11 18:43:06
92.7695,1.11,2026-06-11 18:43:06
92.7697,2.15,2026-06-11 18:43:06
92.7698,-5.64,2026-06-11 18:43:06
92.77,-16.78,2026-06-11 18:43:06
92.7701,-0.04,2026-06-11 18:43:06
92.7703,-4.46,2026-06-11 18:43:06
92.7704,1.6,2026-06-11 18:43:06
92.7706,2.91,2026-06-11 18:43:06
92.7708,-3.05,2026-06-11 18:43:06
92.7709,-1.7,2026-06-11 18:43:06
92.7711,4.0,2026-06-11 18:43:06
92.7712,-7.62,2026-06-11 18:43:06
92.7714,-7.47,2026-06-11 18:43:06
92.7715,-3.66,2026-06-11 18:43:06
92.7717,-7.79,2026-06-11 18:43:06
92.7718,-5.44,2026-06-11 18:43:06
92.772,2.1,2026-06-11 18:43:06
92.7721,1.1,2026-06-11 18:43:06
92.7723,-6.06,2026-06-11 18:43:06
92.7724,0.17,2026-06-11 18:43:06
92.7726,-0.24,2026-06-11 18:43:06
92.7727,-9.38,2026-06-11 18:43:06
92.7729,0.71,2026-06-11 18:43:06
92.773,-2.86,2026-06-11 18:43:06
92.7732,1.1,2026-06-11 18:43:06
92.7733,0.41,2026-06-11 18:43:06
92.7735,-1.94,2026-06-11 18:43:06
92.7737,-4.47,2026-06-11 18:43:06
92.7738,-2.21,2026-06-11 18:43:06
92.774,-2.81,2026-06-11 18:43:06
92.7741,-1.33,2026-06-11 18:43:06
92.7743,-7.23,2026-06-11 18:43:06
92.7744,4.91,2026-06-11 18:43:06
92.7746,-13.72,2026-06-11 18:43:06
92.7747,-9.91,2026-06-11 18:43:06
92.7749,-0.28,2026-06-11 18:43:06
92.775,-9.2,2026-06-11 18:43:06
92.7752,-2.79,2026-06-11 18:43:06
92.7753,0.29,2026-06-11 18:43:06
92.7755,-4.97,2026-06-11 18:43:06
92.7756,-5.1,2026-06-11 18:43:06
92.7758,-3.91,2026-06-11 18:43:06
92.7759,-5.3,2026-06-11 18:43:06
92.7761,3.06,2026-06-11 18:43:06
92.7762,-0.62,2026-06-11 18:43:06
92.7764,2.32,2026-06-11 18:43:06
92.7766,-8.81,2026-06-11 18:43:06
92.7767,-5.08,2026-06-11 18:43:06
92.7769,-9.94,2026-06-11 18:43:06
92.777,2.97,2026-06-11 18:43:06
92.7772,-3.73,2026-06-11 18:43:06
92.7773,-1.68,2026-06-11 18:43:06
92.7775,-1.83,2026-06-11 18:43:06
92.7776,-8.4,2026-06-11 18:43:06
92.7778,-24.67,2026-06-11 18:43:06
92.7779,-5.15,2026-06-11 18:43:06
92.7781,-0.95,2026-06-11 18:43:06
92.7782,0.87,2026-06-11 18:43:06
92.7784,2.52,2026-06-11 18:43:06
92.7785,3.46,2026-06-11 18:43:06
92.7787,1.49,2026-06-11 18:43:06
92.7788,-0.12,2026-06-11 18:43:06
92.779,-12.43,2026-06-11 18:43:06
92.7791,-12.14,2026-06-11 18:43:06
92.7793,-0.58,2026-06-11 18:43:06
92.7794,-1.2,2026-06-11 18:43:06
92.7796,-10.84,2026-06-11 18:43:06
92.7798,-2.42,2026-06-11 18:43:06
92.7799,-0.7,2026-06-11 18:43:06
92.7801,4.83,2026-06-11 18:43:06
92.7802,0.07,2026-06-11 18:43:06
92.7804,0.43,2026-06-11 18:43:06
92.7805,0.08,2026-06-11 18:43:06
92.7807,-4.79,2026-06-11 18:43:06
92.7808,1.24,2026-06-11 18:43:06
92.781,-3.41,2026-06-11 18:43:06
92.7811,-6.44,2026-06-11 18:43:06
92.7813,0.18,2026-06-11 18:43:06
92.7814,-0.86,2026-06-11 18:43:06
92.7816,-2.3,2026-06-11 18:43:06
92.7817,-5.44,2026-06-11 18:43:06
92.7819,1.08,2026-06-11 18:43:06
92.782,-17.35,2026-06-11 18:43:06
92.7822,4.75,2026-06-11 18:43:06
92.7823,-4.85,2026-06-11 18:43:06
92.7825,1.45,2026-06-11 18:43:06
92.7827,-7.1,2026-06-11 18:43:06
92.7828,-6.07,2026-06-11 18:43:06
92.783,1.12,2026-06-11 18:43:06
92.7831,-0.64,2026-06-11 18:43:06
92.7833,0.34,2026-06-11 18:43:06
92.7834,0.77,2026-06-11 18:43:06
92.7836,-2.32,2026-06-11 18:43:06
92.7837,0.07,2026-06-11 18:43:06
92.7839,-12.65,2026-06-11 18:43:06
92.784,-2.65,2026-06-11 18:43:06
92.7842,3.3,2026-06-11 18:43:06
92.7843,4.68,2026-06-11 18:43:06
92.7845,-4.55,2026-06-11 18:43:06
92.7846,-4.37,2026-06-11 18:43:06
92.7848,-1.11,2026-06-11 18:43:06
92.7849,-5.05,2026-06-11 18:43:06
92.7851,4.71,2026-06-11 18:43:06
92.7852,-1.54,2026-06-11 18:43:06
92.7854,2.46,2026-06-11 18:43:06
92.7856,-5.87,2026-06-11 18:43:06
92.7857,-11.86,2026-06-11 18:43:06
92.7859,0.44,2026-06-11 18:43:06
92.786,3.65,2026-06-11 18:43:06
92.7862,0.4,2026-06-11 18:43:06
92.7863,-2.49,2026-06-11 18:43:06
92.7865,2.38,2026-06-11 18:43:06
92.7866,-1.48,2026-06-11 18:43:06
92.7868,2.18,2026-06-11 18:43:06
92.7869,2.49,2026-06-11 18:43:06
92.7871,4.13,2026-06-11 18:43:06
92.7872,4.23,2026-06-11 18:43:06
92.7874,-6.52,2026-06-11 18:43:06
92.7875,2.49,2026-06-11 18:43:06
92.7877,-7.61,2026-06-11 18:43:06
92.7878,-6.87,2026-06-11 18:43:06
92.788,-5.51,2026-06-11 18:43:06
92.7881,-1.54,2026-06-11 18:43:06
92.7883,-4.24,2026-06-11 18:43:06
92.7885,1.99,2026-06-11 18:43:06
92.7886,0.81,2026-06-11 18:43:06
