Frequency (MHz),Power (dB),Timestamp
92.75,3.27,2026-06-11 18:42:35
92.7502,0.67,2026-06-11 18:42:35
92.7503,-3.73,2026-06-11 18:42:35
92.7505,5.5,2026-06-11 18:42:35
92.7506,-2.31,2026-06-11 18:42:35
92.7508,-3.66,2026-06-11 18:42:35
92.7509,4.09,2026-06-11 18:42:35
92.7511,7.8,2026-06-11 18:42:35
92.7512,-8.7,2026-06-11 18:42:35
92.7514,-3.06,2026-06-11 18:42:35
92.7515,-5.05,2026-06-11 18:42:35
92.7517,-1.45,2026-06-11 18:42:35
92.7518,-2.92,2026-06-11 18:42:35
92.752,-1.73,2026-06-11 18:42:35
92.7521,0.63,2026-06-11 18:42:35
92.7523,5.14,2026-06-11 18:42:35
92.7524,-5.29,2026-06-11 18:42:35
92.7526,-0.5,2026-06-11 18:42:35
92.7527,-6.5,2026-06-11 18:42:35
92.7529,6.97,2026-06-11 18:42:35
92.7531,2.53,2026-06-11 18:42:35
92.7532,-10.57,2026-06-11 18:42:35
92.7534,4.54,2026-06-11 18:42:35
92.7535,0.78,2026-06-11 18:42:35
92.7537,2.35,2026-06-11 18:42:35
92.7538,-1.47,2026-06-11 18:42:35
92.754,-5.48,2026-06-11 18:42:35
92.7541,-3.68,2026-06-11 18:42:35
92.7543,-6.14,2026-06-11 18:42:35
92.7544,-3.15,2026-06-11 18:42:35
92.7546,1.38,2026-06-11 18:42:35
92.7547,1.2,2026-06-11 18:42:35
92.7549,-8.83,2026-06-11 18:42:35
92.755,0.56,2026-06-11 18:42:35
92.7552,0.9,2026-06-11 18:42:35
92.7553,1.58,2026-06-11 18:42:35
92.7555,2.88,2026-06-11 18:42:35
92.7556,-1.7,2026-06-11 18:42:35
92.7558,-5.66,2026-06-11 18:42:35
92.756,4.42,2026-06-11 18:42:35
92.7561,-0.57,2026-06-11 18:42:35
92.7563,-4.07,2026-06-11 18:42:35
92.7564,3.37,2026-06-11 18:42:35
92.7566,-2.42,2026-06-11 18:42:35
92.7567,1.47,2026-06-11 18:42:35
92.7569,0.46,2026-06-11 18:42:35
92.757,-2.22,2026-06-11 18:42:35
92.7572,1.71,2026-06-11 18:42:35
92.7573,5.47,2026-06-11 18:42:35
92.7575,5.51,2026-06-11 18:42:35
92.7576,-2.27,2026-06-11 18:42:35
92.7578,2.77,2026-06-11 18:42:35
92.7579,1.99,2026-06-11 18:42:35
92.7581,5.97,2026-06-11 18:42:35
92.7582,4.61,2026-06-11 18:42:35
92.7584,-7.06,2026-06-11 18:42:35
92.7585,-4.06,2026-06-11 18:42:35
92.7587,2.74,2026-06-11 18:42:35
92.7589,3.2,2026-06-11 18:42:35
92.759,2.82,2026-06-11 18:42:35
92.7592,5.79,2026-06-11 18:42:35
92.7593,3.87,2026-06-11 18:42:35
92.7595,2.46,2026-06-11 18:42:35
92.7596,8.21,2026-06-11 18:42:35
92.7598,2.9,2026-06-11 18:42:35
92.7599,-1.34,2026-06-11 18:42:35
92.7601,-11.02,2026-06-11 18:42:35
92.7602,6.79,2026-06-11 18:42:35
92.7604,-3.41,2026-06-11 18:42:35
92.7605,0.1,2026-06-11 18:42:35
92.7607,-4.34,2026-06-11 18:42:35
92.7608,-13.76,2026-06-11 18:42:35
92.761,-6.34,2026-06-11 18:42:35
92.7611,0.99,2026-06-11 18:42:35
92.7613,-0.67,2026-06-11 18:42:35
92.7614,-0.25,2026-06-11 18:42:35
92.7616,-5.73,2026-06-11 18:42:35
92.7617,1.83,2026-06-11 18:42:35
92.7619,-3.76,2026-06-11 18:42:35
92.7621,4.29,2026-06-11 18:42:35
92.7622,0.64,2026-06-11 18:42:35
92.7624,-17.49,2026-06-11 18:42:35
92.7625,-0.06,2026-06-11 18:42:35
92.7627,2.26,2026-06-11 18:42:35
92.7628,0.07,2026-06-11 18:42:35
92.763,-11.4,2026-06-11 18:42:35
92.7631,-1.65,2026-06-11 18:42:35
92.7633,4.43,2026-06-11 18:42:35
92.7634,3.32,2026-06-11 18:42:35
92.7636,-2.8,2026-06-11 18:42:35
92.7637,-5.89,2026-06-11 18:42:35
92.7639,2.35,2026-06-11 18:42:35
92.764,2.47,2026-06-11 18:42:35
92.7642,0.82,2026-06-11 18:42:35
92.7643,-7.83,2026-06-11 18:42:35
92.7645,0.24,2026-06-11 18:42:35
92.7646,-4.64,2026-06-11 18:42:35
92.7648,-7.7,2026-06-11 18:42:35
92.765,-1.1,2026-06-11 18:42:35
92.7651,1.44,2026-06-11 18:42:35
92.7653,0.03,2026-06-11 18:42:35
92.7654,5.24,2026-06-11 18:42:35
92.7656,-1.5,2026-06-11 18:42:35
92.7657,1.8,2026-06-11 18:42:35
92.7659,-3.53,2026-06-11 18:42:35
92.766,7.56,2026-06-11 18:42:35
92.7662,4.19,2026-06-11 18:42:35
92.7663,-1.04,2026-06-11 18:42:35
92.7665,-8.17,2026-06-11 18:42:35
92.7666,0.41,2026-06-11 18:42:35
92.7668,-2.4,2026-06-11 18:42:35
92.7669,-6.19,2026-06-11 18:42:35
92.7671,0.55,2026-06-11 18:42:35
92.7672,1.52,2026-06-11 18:42:35
92.7674,-5.72,2026-06-11 18:42:35
92.7675,-0.18,2026-06-11 18:42:35
92.7677,2.33,2026-06-11 18:42:35
92.7679,-12.09,2026-06-11 18:42:35
92.768,-3.62,2026-06-11 18:42:35
92.7682,3.39,2026-06-11 18:42:35
92.7683,3.51,2026-06-11 18:42:35
92.7685,-6.07,2026-06-11 18:42:35
92.7686,-14.38,2026-06-11 18:42:35
92.7688,-5.51,2026-06-11 18:42:35
92.7689,2.5,2026-06-11 18:42:35
92.7691,6.09,2026-06-11 18:42:35
92.7692,-7.03,2026-06-11 18:42:35
92.7694,-2.23,2026-06-11 18:42:35
92.7695,2.87,2026-06-11 18:42:35
92.7697,6.47,2026-06-11 18:42:35
92.7698,-1.18,2026-06-11 18:42:35
92.77,0.9,2026-06-11 18:42:35
92.7701,4.79,2026-06-11 18:42:35
92.7703,-1.48,2026-06-11 18:42:35
92.7704,1.6,2026-06-11 18:42:35
92.7706,-0.76,2026-06-11 18:42:35
92.7708,1.31,2026-06-11 18:42:35
92.7709,0.82,2026-06-11 18:42:35
92.7711,3.19,2026-06-11 18:42:35
92.7712,3.37,2026-06-11 18:42:35
92.7714,3.35,2026-06-11 18:42:35
92.7715,5.06,2026-06-11 18:42:35
92.7717,2.22,2026-06-11 18:42:35
92.7718,-1.77,2026-06-11 18:42:35
92.772,-4.73,2026-06-11 18:42:35
92.7721,2.32,2026-06-11 18:42:35
92.7723,4.81,2026-06-11 18:42:35
92.7724,0.54,2026-06-11 18:42:35
92.7726,3.68,2026-06-11 18:42:35
92.7727,-0.47,2026-06-11 18:42:35
92.7729,-1.04,2026-06-11 18:42:35
92.773,0.83,2026-06-11 18:42:35
92.7732,-0.38,2026-06-11 18:42:35
92.7733,0.1,2026-06-11 18:42:35
92.7735,2.08,2026-06-11 18:42:35
92.7737,2.39,2026-06-11 18:42:35
92.7738,1.14,2026-06-11 18:42:35
92.774,-7.27,2026-06-11 18:42:35
92.7741,-0.25,2026-06-11 18:42:35
92.7743,-12.69,2026-06-11 18:42:35
92.7744,1.35,2026-06-11 18:42:35
92.7746,1.73,2026-06-11 18:42:35
92.7747,-3.28,2026-06-11 18:42:35
92.7749,5.83,2026-06-11 18:42:35
92.775,-3.76,2026-06-11 18:42:35
92.7752,-4.02,2026-06-11 18:42:35
92.7753,-3.35,2026-06-11 18:42:35
92.7755,2.74,2026-06-11 18:42:35
92.7756,2.24,2026-06-11 18:42:35
92.7758,0.77,2026-06-11 18:42:35
92.7759,-3.85,2026-06-11 18:42:35
92.7761,4.25,2026-06-11 18:42:35
92.7762,0.2,2026-06-11 18:42:35
92.7764,-6.19,2026-06-11 18:42:35
92.7766,-6.75,2026-06-11 18:42:35
92.7767,-11.06,2026-06-11 18:42:35
92.7769,-3.77,2026-06-11 18:42:35
92.777,-8.38,2026-06-11 18:42:35
92.7772,-0.05,2026-06-11 18:42:35
92.7773,-5.18,2026-06-11 18:42:35
92.7775,4.96,2026-06-11 18:42:35
92.7776,-5.2,2026-06-11 18:42:35
92.7778,3.72,2026-06-11 18:42:35
92.7779,5.67,2026-06-11 18:42:35
92.7781,6.33,2026-06-11 18:42:35
92.7782,-3.3,2026-06-11 18:42:35
92.7784,-6.61,2026-06-11 18:42:35
92.7785,-2.74,2026-06-11 18:42:35
92.7787,0.1,2026-06-11 18:42:35
92.7788,2.09,2026-06-11 18:42:35
92.779,-7.9,2026-06-11 18:42:35
92.7791,-3.85,2026-06-11 18:42:35
92.7793,4.97,2026-06-11 18:42:35
92.7794,-9.47,2026-06-11 18:42:35
92.7796,8.93,2026-06-11 18:42:35
92.7798,-4.38,2026-06-11 18:42:35
92.7799,-5.66,2026-06-11 18:42:35
92.7801,1.79,2026-06-11 18:42:35
92.7802,-1.74,2026-06-11 18:42:35
92.7804,-21.98,2026-06-11 18:42:35
92.7805,-1.09,2026-06-11 18:42:35
92.7807,-9.49,2026-06-11 18:42:35
92.7808,6.59,2026-06-11 18:42:35
92.781,4.16,2026-06-11 18:42:35
92.7811,5.87,2026-06-11 18:42:35
92.7813,4.65,2026-06-11 18:42:35
92.7814,-8.28,2026-06-11 18:42:35
92.7816,-5.65,2026-06-11 18:42:35
92.7817,-2.18,2026-06-11 18:42:35
92.7819,-3.17,2026-06-11 18:42:35
92.782,3.07,2026-06-11 18:42:35
92.7822,-7.36,2026-06-11 18:42:35
92.7823,-8.83,2026-06-11 18:42:35
92.7825,-1.15,2026-06-11 18:42:35
92.7827,2.28,2026-06-11 18:42:35
92.7828,-3.61,2026-06-11 18:42:35
92.783,-4.66,2026-06-11 18:42:35
92.7831,3.61,2026-06-11 18:42:35
92.7833,7.49,2026-06-11 18:42:35
92.7834,0.19,2026-06-11 18:42:35
92.7836,-7.42,2026-06-11 18:42:35
92.7837,-8.12,2026-06-11 18:42:35
92.7839,0.85,2026-06-11 18:42:35
92.784,-10.09,2026-06-11 18:42:35
92.7842,-6.02,2026-06-11 18:42:35
92.7843,1.34,2026-06-11 18:42:35
92.7845,5.07,2026-06-11 18:42:35
92.7846,1.8,2026-06-11 18:42:35
92.7848,4.93,2026-06-11 18:42:35
92.7849,-2.38,2026-06-11 18:42:35
92.7851,3.81,2026-06-11 18:42:35
92.7852,-1.41,2026-06-11 18:42:35
92.7854,5.16,2026-06-11 18:42:35
92.7856,-1.29,2026-06-11 18:42:35
92.7857,-0.5,2026-06-11 18:42:35
92.7859,9.13,2026-06-11 18:42:35
92.786,-4.05,2026-06-11 18:42:35
92.7862,-5.97,2026-06-11 18:42:35
92.7863,-2.59,2026-06-11 18:42:35
92.7865,3.79,2026-06-11 18:42:35
92.7866,1.35,2026-06-11 18:42:35
92.7868,-1.17,2026-06-11 18:42:35
92.7869,4.62,2026-06-11 18:42:35
92.7871,-5.22,2026-06-11 18:42:35
92.7872,0.26,2026-06-11 18:42:35
92.7874,3.27,2026-06-11 18:42:35
92.7875,2.58,2026-06-11 18:42:35
92.7877,-2.73,2026-06-11 18:42:35
92.7878,6.38,2026-06-11 18:42:35
92.788,2.26,2026-06-11 18:42:35
92.7881,2.24,2026-06-11 18:42:35
92.7883,2.97,2026-06-11 18:42:35
92.7885,-6.19,2026-06-11 18:42:35
92.7886,-6.29,2026-06-11 18:42:35
92.7888,-14.82,2026-06-11 18:42:35
92.7889,0.07,2026-06-11 18:42:35
92.7891,3.63,2026-06-11 18:42:35
92.7892,1.77,2026-06-11 18:42:35
92.7894,5.95,2026-06-11 18:42:35
92.7895,1.01,2026-06-11 18:42:35
92.7897,-4.17,2026-06-11 18:42:35
92.7898,-2.92,2026-06-11 18:42:35
92.79,-2.31,2026-06-11 18:42:35
92.7901,3.06,2026-06-11 18:42:35
92.7903,-9.43,2026-06-11 18:42:35
92.7904,-9.86,2026-06-11 18:42:35
92.7906,5.02,2026-06-11 18:42:35
92.7907,-8.57,2026-06-11 18:42:35
92.7909,3.84,2026-06-11 18:42:35
92.791,2.23,2026-06-11 18:42:35
92.7912,-6.03,2026-06-11 18:42:35
92.7914,-0.98,2026-06-11 18:42:35
92.7915,3.84,2026-06-11 18:42:35
92.7917,-3.3,2026-06-11 18:42:35
92.7918,-0.68,2026-06-11 18:42:35
92.792,-0.42,2026-06-11 18:42:35
92.7921,-0.21,2026-06-11 18:42:35
92.7923,-10.15,2026-06-11 18:42:35
92.7924,-5.01,2026-06-11 18:42:35
92.7926,-5.24,2026-06-11 18:42:35
92.7927,-13.42,2026-06-11 18:42:35
92.7929,-8.78,2026-06-11 18:42:35
92.793,-5.78,2026-06-11 18:42:35
92.7932,1.7,2026-06-11 18:42:35
92.7933,-3.06,2026-06-11 18:42:35
92.7935,-3.09,2026-06-11 18:42:35
92.7936,-3.64,2026-06-11 18:42:35
92.7938,-3.34,2026-06-11 18:42:35
92.7939,-4.38,2026-06-11 18:42:35
92.7941,0.29,2026-06-11 18:42:35
92.7943,-7.66,2026-06-11 18:42:35
92.7944,7.09,2026-06-11 18:42:35
92.7946,-0.2,2026-06-11 18:42:35
92.7947,3.78,2026-06-11 18:42:35
92.7949,-7.39,2026-06-11 18:42:35
92.795,-10.81,2026-06-11 18:42:35
92.7952,-3.38,2026-06-11 18:42:35
92.7953,0.27,2026-06-11 18:42:35
92.7955,5.99,2026-06-11 18:42:35
92.7956,0.51,2026-06-11 18:42:35
92.7958,-2.61,2026-06-11 18:42:35
92.7959,-0.21,2026-06-11 18:42:35
92.7961,-23.82,2026-06-11 18:42:35
92.7962,-3.32,2026-06-11 18:42:35
92.7964,1.54,2026-06-11 18:42:35
92.7965,4.65,2026-06-11 18:42:35
92.7967,-3.07,2026-06-11 18:42:35
92.7968,-1.93,2026-06-11 18:42:35
92.797,6.06,2026-06-11 18:42:35
92.7972,-9.22,2026-06-11 18:42:35
92.7973,-7.51,2026-06-11 18:42:35
