Frequency (MHz),Power (dB),Timestamp
92.8,5.26,2026-06-11 18:34:24
92.8,0.08,2026-06-11 18:34:24
92.8,4.06,2026-06-11 18:34:24
92.8,5.42,2026-06-11 18:34:24
92.8,-3.51,2026-06-11 18:34:24
92.8,-13.35,2026-06-11 18:34:24
92.8,-2.21,2026-06-11 18:34:24
92.8,-5.54,2026-06-11 18:34:24
92.8,-0.85,2026-06-11 18:34:24
92.8,-6.97,2026-06-11 18:34:24
92.8,3.34,2026-06-11 18:34:24
92.8,-12.86,2026-06-11 18:34:24
92.8,-26.13,2026-06-11 18:34:24
92.8,-13.81,2026-06-11 18:34:24
92.8,-5.18,2026-06-11 18:34:24
92.8,-8.94,2026-06-11 18:34:24
92.8,-1.06,2026-06-11 18:34:24
92.8,2.33,2026-06-11 18:34:24
92.8,-0.8,2026-06-11 18:34:24
92.8,-0.3,2026-06-11 18:34:24
92.8,1.08,2026-06-11 18:34:24
92.8,-8.57,2026-06-11 18:34:24
92.8,0.43,2026-06-11 18:34:24
92.8,-3.21,2026-06-11 18:34:24
92.8,-5.01,2026-06-11 18:34:24
92.8,-4.24,2026-06-11 18:34:24
92.8,-1.04,2026-06-11 18:34:24
92.8,-13.71,2026-06-11 18:34:24
92.8,-21.15,2026-06-11 18:34:24
92.8,3.18,2026-06-11 18:34:24
92.8,-4.98,2026-06-11 18:34:24
92.8,-12.94,2026-06-11 18:34:24
92.8,2.02,2026-06-11 18:34:24
92.8,-2.72,2026-06-11 18:34:24
92.8,-4.54,2026-06-11 18:34:24
92.8,-3.22,2026-06-11 18:34:24
92.8,-4.42,2026-06-11 18:34:24
92.8,-1.08,2026-06-11 18:34:24
92.8,-0.75,2026-06-11 18:34:24
92.8,0.85,2026-06-11 18:34:24
92.8,-0.94,2026-06-11 18:34:24
92.8,-0.94,2026-06-11 18:34:24
92.8,-1.14,2026-06-11 18:34:24
92.8,-12.97,2026-06-11 18:34:24
92.8,0.78,2026-06-11 18:34:24
92.8,-1.54,2026-06-11 18:34:24
92.8,3.49,2026-06-11 18:34:24
92.8,4.28,2026-06-11 18:34:24
92.8,-1.14,2026-06-11 18:34:24
92.8,-5.92,2026-06-11 18:34:24
92.8,-1.71,2026-06-11 18:34:24
92.8,-10.42,2026-06-11 18:34:24
92.8,5.19,2026-06-11 18:34:24
92.8,-16.99,2026-06-11 18:34:24
92.8,-8.45,2026-06-11 18:34:24
92.8,-5.2,2026-06-11 18:34:24
92.8,-0.34,2026-06-11 18:34:24
92.8,-0.02,2026-06-11 18:34:24
92.8,-0.11,2026-06-11 18:34:24
92.8,-5.31,2026-06-11 18:34:24
92.8,3.5,2026-06-11 18:34:24
92.8,4.82,2026-06-11 18:34:24
92.8,8.23,2026-06-11 18:34:24
92.8,-7.51,2026-06-11 18:34:24
92.8,4.64,2026-06-11 18:34:24
92.8,-4.04,2026-06-11 18:34:24
92.8,-2.41,2026-06-11 18:34:24
92.8,2.71,2026-06-11 18:34:24
92.8,7.13,2026-06-11 18:34:24
92.8,5.06,2026-06-11 18:34:24
92.8,-3.58,2026-06-11 18:34:24
92.8,4.14,2026-06-11 18:34:24
92.8,-0.88,2026-06-11 18:34:24
92.8,-2.13,2026-06-11 18:34:24
92.8,5.25,2026-06-11 18:34:24
92.8,-7.64,2026-06-11 18:34:24
92.8,0.33,2026-06-11 18:34:24
92.8,-1.71,2026-06-11 18:34:24
92.8,-0.62,2026-06-11 18:34:24
92.8,1.37,2026-06-11 18:34:24
92.8,4.08,2026-06-11 18:34:24
92.8,1.75,2026-06-11 18:34:24
92.8,0.5,2026-06-11 18:34:24
92.8,-10.21,2026-06-11 18:34:24
92.8,-10.53,2026-06-11 18:34:24
92.8,0.61,2026-06-11 18:34:24
92.8,-6.39,2026-06-11 18:34:24
92.8,2.36,2026-06-11 18:34:24
92.8,-2.27,2026-06-11 18:34:24
92.8,4.28,2026-06-11 18:34:24
92.8,-0.28,2026-06-11 18:34:24
92.8,-10.2,2026-06-11 18:34:24
92.8,-1.45,2026-06-11 18:34:24
92.8,-2.07,2026-06-11 18:34:24
92.8,2.79,2026-06-11 18:34:24
92.8,-9.97,2026-06-11 18:34:24
92.8,5.26,2026-06-11 18:34:24
92.8,-4.45,2026-06-11 18:34:24
92.8,1.39,2026-06-11 18:34:24
92.8,-2.25,2026-06-11 18:34:24
92.8,-6.15,2026-06-11 18:34:24
92.8,1.44,2026-06-11 18:34:24
92.8,-6.85,2026-06-11 18:34:24
92.8,0.45,2026-06-11 18:34:24
92.8,3.06,2026-06-11 18:34:24
92.8,-15.88,2026-06-11 18:34:24
92.8,-15.96,2026-06-11 18:34:24
92.8,-1.26,2026-06-11 18:34:24
92.8,1.56,2026-06-11 18:34:24
92.8,1.51,2026-06-11 18:34:24
92.8,-2.25,2026-06-11 18:34:24
92.8,-2.23,2026-06-11 18:34:24
92.8,4.73,2026-06-11 18:34:24
92.8,5.77,2026-06-11 18:34:24
92.8,-17.76,2026-06-11 18:34:24
92.8,1.03,2026-06-11 18:34:24
92.8,4.62,2026-06-11 18:34:24
92.8,3.87,2026-06-11 18:34:24
92.8,-7.86,2026-06-11 18:34:24
92.8,2.26,2026-06-11 18:34:24
92.8,-0.48,2026-06-11 18:34:24
92.8,4.87,2026-06-11 18:34:24
92.8,-9.75,2026-06-11 18:34:24
92.8,3.4,2026-06-11 18:34:24
92.8,-9.28,2026-06-11 18:34:24
92.8,5.47,2026-06-11 18:34:24
