Frequency (MHz),Power (dB),Timestamp
92.7715,-4.79,2026-06-11 18:45:06
92.7717,-5.6,2026-06-11 18:45:06
92.7718,0.29,2026-06-11 18:45:06
92.772,-7.23,2026-06-11 18:45:06
92.7721,0.54,2026-06-11 18:45:06
92.7723,-12.34,2026-06-11 18:45:06
92.7724,-1.0,2026-06-11 18:45:06
92.7726,0.24,2026-06-11 18:45:06
92.7727,-4.71,2026-06-11 18:45:06
92.7729,-18.64,2026-06-11 18:45:06
92.773,0.67,2026-06-11 18:45:06
92.7732,-2.45,2026-06-11 18:45:06
92.7733,1.1,2026-06-11 18:45:06
92.7735,0.87,2026-06-11 18:45:06
92.7737,-15.55,2026-06-11 18:45:06
92.7738,-8.62,2026-06-11 18:45:06
92.774,1.53,2026-06-11 18:45:06
92.7741,1.27,2026-06-11 18:45:06
92.7743,-11.03,2026-06-11 18:45:06
92.7744,2.7,2026-06-11 18:45:06
92.7746,0.54,2026-06-11 18:45:06
92.7747,-9.47,2026-06-11 18:45:06
92.7749,-9.12,2026-06-11 18:45:06
92.775,1.63,2026-06-11 18:45:06
92.7752,-4.51,2026-06-11 18:45:06
92.7753,-20.88,2026-06-11 18:45:06
92.7755,-0.35,2026-06-11 18:45:06
92.7756,-6.34,2026-06-11 18:45:06
92.7758,4.25,2026-06-11 18:45:06
92.7759,-3.35,2026-06-11 18:45:06
92.7761,4.54,2026-06-11 18:45:06
92.7762,1.33,2026-06-11 18:45:06
92.7764,-2.59,2026-06-11 18:45:06
92.7766,-3.22,2026-06-11 18:45:06
92.7767,7.27,2026-06-11 18:45:06
92.7769,4.83,2026-06-11 18:45:06
92.777,-2.93,2026-06-11 18:45:06
92.7772,1.11,2026-06-11 18:45:06
92.7773,-7.84,2026-06-11 18:45:06
92.7775,-1.04,2026-06-11 18:45:06
92.7776,-8.62,2026-06-11 18:45:06
92.7778,-5.43,2026-06-11 18:45:06
92.7779,-2.44,2026-06-11 18:45:06
92.7781,-1.77,2026-06-11 18:45:06
92.7782,-0.51,2026-06-11 18:45:06
92.7784,4.19,2026-06-11 18:45:06
92.7785,-0.69,2026-06-11 18:45:06
92.7787,-0.25,2026-06-11 18:45:06
92.7788,1.22,2026-06-11 18:45:06
92.779,4.31,2026-06-11 18:45:06
92.7791,0.6,2026-06-11 18:45:06
92.7793,-2.11,2026-06-11 18:45:06
92.7794,-3.0,2026-06-11 18:45:06
92.7796,0.48,2026-06-11 18:45:06
92.7798,-0.5,2026-06-11 18:45:06
92.7799,0.19,2026-06-11 18:45:06
92.7801,0.91,2026-06-11 18:45:06
92.7802,-11.94,2026-06-11 18:45:06
92.7804,-0.32,2026-06-11 18:45:06
92.7805,-5.84,2026-06-11 18:45:06
92.7807,-5.18,2026-06-11 18:45:06
92.7808,-5.55,2026-06-11 18:45:06
92.781,-2.79,2026-06-11 18:45:06
92.7811,-0.5,2026-06-11 18:45:06
92.7813,-19.41,2026-06-11 18:45:06
92.7814,2.12,2026-06-11 18:45:06
92.7816,-0.58,2026-06-11 18:45:06
92.7817,-6.09,2026-06-11 18:45:06
92.7819,-3.02,2026-06-11 18:45:06
92.782,-2.11,2026-06-11 18:45:06
92.7822,1.95,2026-06-11 18:45:06
92.7823,-5.01,2026-06-11 18:45:06
92.7825,-2.49,2026-06-11 18:45:06
92.7827,-7.58,2026-06-11 18:45:06
92.7828,-0.52,2026-06-11 18:45:06
92.783,-0.55,2026-06-11 18:45:06
92.7831,4.73,2026-06-11 18:45:06
92.7833,-2.7,2026-06-11 18:45:06
92.7834,0.15,2026-06-11 18:45:06
92.7836,-1.93,2026-06-11 18:45:06
92.7837,-1.22,2026-06-11 18:45:06
92.7839,2.2,2026-06-11 18:45:06
92.784,-2.2,2026-06-11 18:45:06
92.7842,2.65,2026-06-11 18:45:06
92.7843,-5.8,2026-06-11 18:45:06
92.7845,-3.32,2026-06-11 18:45:06
92.7846,2.63,2026-06-11 18:45:06
92.7848,0.24,2026-06-11 18:45:06
92.7849,-0.94,2026-06-11 18:45:06
92.7851,-0.54,2026-06-11 18:45:06
92.7852,-1.04,2026-06-11 18:45:06
92.7854,-9.13,2026-06-11 18:45:06
92.7856,-10.93,2026-06-11 18:45:06
92.7857,-14.69,2026-06-11 18:45:06
92.7859,-2.27,2026-06-11 18:45:06
92.786,-6.78,2026-06-11 18:45:06
92.7862,-9.68,2026-06-11 18:45:06
92.7863,-3.49,2026-06-11 18:45:06
92.7865,-1.19,2026-06-11 18:45:06
92.7866,-8.85,2026-06-11 18:45:06
92.7868,-1.7,2026-06-11 18:45:06
92.7869,0.61,2026-06-11 18:45:06
92.7871,-12.17,2026-06-11 18:45:06
92.7872,2.77,2026-06-11 18:45:06
92.7874,-15.9,2026-06-11 18:45:06
92.7875,-1.66,2026-06-11 18:45:06
92.7877,3.11,2026-06-11 18:45:06
92.7878,-6.6,2026-06-11 18:45:06
92.788,-6.37,2026-06-11 18:45:06
92.7881,-6.37,2026-06-11 18:45:06
92.7883,-7.36,2026-06-11 18:45:06
92.7885,-17.75,2026-06-11 18:45:06
92.7886,-9.17,2026-06-11 18:45:06
92.7888,-2.25,2026-06-11 18:45:06
92.7889,-3.51,2026-06-11 18:45:06
92.7891,-4.12,2026-06-11 18:45:06
92.7892,-4.11,2026-06-11 18:45:06
92.7894,-9.12,2026-06-11 18:45:06
92.7895,-1.57,2026-06-11 18:45:06
92.7897,-0.18,2026-06-11 18:45:06
92.7898,-3.4,2026-06-11 18:45:06
92.79,4.23,2026-06-11 18:45:06
92.7901,-2.97,2026-06-11 18:45:06
92.7903,5.64,2026-06-11 18:45:06
92.7904,2.39,2026-06-11 18:45:06
92.7906,2.32,2026-06-11 18:45:06
92.7907,-6.96,2026-06-11 18:45:06
92.7909,-3.67,2026-06-11 18:45:06
92.791,-1.69,2026-06-11 18:45:06
92.7912,-0.58,2026-06-11 18:45:06
92.7914,-1.99,2026-06-11 18:45:06
92.7915,-12.9,2026-06-11 18:45:06
92.7917,1.24,2026-06-11 18:45:06
92.7918,2.61,2026-06-11 18:45:06
92.792,-10.45,2026-06-11 18:45:06
92.7921,-14.95,2026-06-11 18:45:06
92.7923,-0.76,2026-06-11 18:45:06
92.7924,0.89,2026-06-11 18:45:06
92.7926,-8.18,2026-06-11 18:45:06
92.7927,-8.88,2026-06-11 18:45:06
92.7929,2.7,2026-06-11 18:45:06
92.793,-3.72,2026-06-11 18:45:06
92.7932,0.67,2026-06-11 18:45:06
92.7933,-7.62,2026-06-11 18:45:06
92.7935,4.83,2026-06-11 18:45:06
92.7936,-1.2,2026-06-11 18:45:06
92.7938,4.6,2026-06-11 18:45:06
92.7939,0.81,2026-06-11 18:45:06
