Frequency (MHz),Power (dB),Timestamp
87.5,-28.11,2026-06-10 11:12:24
87.7,-28.05,2026-06-10 11:12:24
87.9,-28.05,2026-06-10 11:12:24
88.1,-28.06,2026-06-10 11:12:24
88.3,-28.07,2026-06-10 11:12:24
88.5,-28.08,2026-06-10 11:12:24
88.7,-28.07,2026-06-10 11:12:24
88.9,-28.05,2026-06-10 11:12:24
89.1,-28.05,2026-06-10 11:12:24
89.3,-28.05,2026-06-10 11:12:24
89.5,-52.05,2026-06-10 11:12:24
89.7,-100.0,2026-06-10 11:12:24
89.9,-100.0,2026-06-10 11:12:24
90.1,-100.0,2026-06-10 11:12:24
90.3,-100.0,2026-06-10 11:12:24
90.5,-100.0,2026-06-10 11:12:24
90.7,-100.0,2026-06-10 11:12:24
90.9,-100.0,2026-06-10 11:12:24
91.1,-100.0,2026-06-10 11:12:24
91.3,-100.0,2026-06-10 11:12:24
91.5,-28.12,2026-06-10 11:12:24
91.7,-28.09,2026-06-10 11:12:24
91.9,-28.09,2026-06-10 11:12:24
92.1,-28.07,2026-06-10 11:12:24
92.3,-28.08,2026-06-10 11:12:24
92.5,-28.08,2026-06-10 11:12:24
92.7,-28.09,2026-06-10 11:12:24
92.9,-28.12,2026-06-10 11:12:24
93.1,-28.04,2026-06-10 11:12:24
93.3,-28.05,2026-06-10 11:12:24
93.5,-28.07,2026-06-10 11:12:24
93.7,-28.06,2026-06-10 11:12:24
93.9,-28.07,2026-06-10 11:12:24
94.1,-28.09,2026-06-10 11:12:24
94.3,-28.11,2026-06-10 11:12:24
94.5,-28.07,2026-06-10 11:12:24
94.7,-28.06,2026-06-10 11:12:24
94.9,-28.08,2026-06-10 11:12:24
95.1,-28.07,2026-06-10 11:12:24
95.3,-28.09,2026-06-10 11:12:24
95.5,-28.06,2026-06-10 11:12:24
95.7,-28.09,2026-06-10 11:12:24
95.9,-28.11,2026-06-10 11:12:24
96.1,-28.1,2026-06-10 11:12:24
96.3,-27.96,2026-06-10 11:12:24
96.5,-27.95,2026-06-10 11:12:24
96.7,-27.95,2026-06-10 11:12:24
96.9,-27.96,2026-06-10 11:12:24
97.1,-27.95,2026-06-10 11:12:24
97.3,-27.96,2026-06-10 11:12:24
97.5,-27.94,2026-06-10 11:12:24
97.7,-27.97,2026-06-10 11:12:24
97.9,-27.98,2026-06-10 11:12:24
98.1,-27.95,2026-06-10 11:12:24
98.3,-27.97,2026-06-10 11:12:24
98.5,-28.11,2026-06-10 11:12:24
98.7,-28.09,2026-06-10 11:12:24
98.9,-28.1,2026-06-10 11:12:24
99.1,-28.09,2026-06-10 11:12:24
99.3,-28.06,2026-06-10 11:12:24
99.5,-28.08,2026-06-10 11:12:24
99.7,-28.08,2026-06-10 11:12:24
99.9,-28.09,2026-06-10 11:12:24
100.1,-28.08,2026-06-10 11:12:24
100.3,-28.08,2026-06-10 11:12:24
100.5,-28.03,2026-06-10 11:12:24
100.7,-27.98,2026-06-10 11:12:24
100.9,-28.09,2026-06-10 11:12:24
101.1,-28.08,2026-06-10 11:12:24
101.3,-28.1,2026-06-10 11:12:24
101.5,-28.08,2026-06-10 11:12:24
101.7,-28.08,2026-06-10 11:12:24
101.9,-28.09,2026-06-10 11:12:24
102.1,-28.08,2026-06-10 11:12:24
102.3,-28.07,2026-06-10 11:12:24
102.5,-28.09,2026-06-10 11:12:24
102.7,-28.06,2026-06-10 11:12:24
102.9,-28.07,2026-06-10 11:12:24
103.1,-28.07,2026-06-10 11:12:24
103.3,-28.09,2026-06-10 11:12:24
103.5,-28.07,2026-06-10 11:12:24
103.7,-28.08,2026-06-10 11:12:24
103.9,-28.06,2026-06-10 11:12:24
104.1,-28.08,2026-06-10 11:12:24
104.3,-28.1,2026-06-10 11:12:24
104.5,-28.05,2026-06-10 11:12:24
104.7,-28.05,2026-06-10 11:12:24
104.9,-28.07,2026-06-10 11:12:24
105.1,-28.01,2026-06-10 11:12:24
105.3,-28.02,2026-06-10 11:12:24
105.5,-28.02,2026-06-10 11:12:24
105.7,-28.03,2026-06-10 11:12:24
105.9,-28.05,2026-06-10 11:12:24
106.1,-27.99,2026-06-10 11:12:24
106.3,-28.02,2026-06-10 11:12:24
106.5,-28.01,2026-06-10 11:12:24
106.7,-28.04,2026-06-10 11:12:24
106.9,-28.03,2026-06-10 11:12:24
107.1,-28.05,2026-06-10 11:12:24
107.3,-28.09,2026-06-10 11:12:24
107.5,-27.96,2026-06-10 11:12:24
107.7,-27.97,2026-06-10 11:12:24
107.9,-27.97,2026-06-10 11:12:24
