Frequency (MHz),Power (dB),Timestamp
92.8,-4.89,2026-06-11 18:31:45
92.8,2.96,2026-06-11 18:31:45
92.8,3.2,2026-06-11 18:31:45
92.8,-0.52,2026-06-11 18:31:45
92.8,4.07,2026-06-11 18:31:45
92.8,8.43,2026-06-11 18:31:45
92.8,0.65,2026-06-11 18:31:45
92.8,3.84,2026-06-11 18:31:45
92.8,4.22,2026-06-11 18:31:45
92.8,-10.77,2026-06-11 18:31:45
92.8,-1.95,2026-06-11 18:31:45
92.8,2.4,2026-06-11 18:31:45
92.8,3.53,2026-06-11 18:31:45
92.8,-10.22,2026-06-11 18:31:45
92.8,7.45,2026-06-11 18:31:45
92.8,-0.43,2026-06-11 18:31:45
92.8,0.55,2026-06-11 18:31:45
92.8,4.5,2026-06-11 18:31:45
92.8,3.73,2026-06-11 18:31:45
92.8,0.34,2026-06-11 18:31:45
92.8,3.21,2026-06-11 18:31:45
92.8,0.37,2026-06-11 18:31:45
92.8,-3.55,2026-06-11 18:31:45
92.8,1.96,2026-06-11 18:31:45
92.8,5.08,2026-06-11 18:31:45
92.8,4.5,2026-06-11 18:31:45
92.8,4.72,2026-06-11 18:31:45
92.8,-0.88,2026-06-11 18:31:45
92.8,-0.29,2026-06-11 18:31:45
92.8,-11.38,2026-06-11 18:31:45
92.8,2.92,2026-06-11 18:31:45
92.8,-8.53,2026-06-11 18:31:45
92.8,-0.95,2026-06-11 18:31:45
92.8,2.41,2026-06-11 18:31:45
92.8,5.08,2026-06-11 18:31:45
92.8,-3.47,2026-06-11 18:31:45
92.8,2.28,2026-06-11 18:31:45
92.8,-4.66,2026-06-11 18:31:45
92.8,6.23,2026-06-11 18:31:45
92.8,4.99,2026-06-11 18:31:45
92.8,-2.94,2026-06-11 18:31:45
92.8,-5.16,2026-06-11 18:31:45
92.8,-4.41,2026-06-11 18:31:45
92.8,-5.42,2026-06-11 18:31:45
92.8,-2.78,2026-06-11 18:31:45
92.8,-13.38,2026-06-11 18:31:45
92.8,6.49,2026-06-11 18:31:45
92.8,-1.03,2026-06-11 18:31:45
92.8,3.91,2026-06-11 18:31:45
92.8,-4.66,2026-06-11 18:31:45
92.8,8.36,2026-06-11 18:31:45
92.8,-0.56,2026-06-11 18:31:45
92.8,-8.56,2026-06-11 18:31:45
92.8,4.19,2026-06-11 18:31:45
92.8,1.09,2026-06-11 18:31:45
92.8,0.31,2026-06-11 18:31:45
92.8,-7.07,2026-06-11 18:31:45
92.8,4.85,2026-06-11 18:31:45
92.8,-12.83,2026-06-11 18:31:45
92.8,-0.35,2026-06-11 18:31:45
92.8,-1.49,2026-06-11 18:31:45
92.8,2.88,2026-06-11 18:31:45
92.8,1.61,2026-06-11 18:31:45
92.8,-1.08,2026-06-11 18:31:45
92.8,7.37,2026-06-11 18:31:45
92.8,5.19,2026-06-11 18:31:45
92.8,-6.56,2026-06-11 18:31:45
92.8,-5.04,2026-06-11 18:31:45
92.8,4.06,2026-06-11 18:31:45
92.8,-5.45,2026-06-11 18:31:45
92.8,2.17,2026-06-11 18:31:45
92.8,3.47,2026-06-11 18:31:45
92.8,0.15,2026-06-11 18:31:45
92.8,5.31,2026-06-11 18:31:45
92.8,3.9,2026-06-11 18:31:45
92.8,-9.39,2026-06-11 18:31:45
92.8,5.4,2026-06-11 18:31:45
92.8,3.94,2026-06-11 18:31:45
92.8,0.57,2026-06-11 18:31:45
92.8,-9.81,2026-06-11 18:31:45
92.8,6.12,2026-06-11 18:31:45
92.8,1.57,2026-06-11 18:31:45
92.8,-0.34,2026-06-11 18:31:45
92.8,2.24,2026-06-11 18:31:45
92.8,3.02,2026-06-11 18:31:45
92.8,-4.3,2026-06-11 18:31:45
92.8,-0.01,2026-06-11 18:31:45
92.8,-2.38,2026-06-11 18:31:45
92.8,-2.29,2026-06-11 18:31:45
92.8,-6.2,2026-06-11 18:31:45
92.8,2.0,2026-06-11 18:31:45
92.8,-4.4,2026-06-11 18:31:45
92.8,0.57,2026-06-11 18:31:45
92.8,-3.16,2026-06-11 18:31:45
92.8,-0.15,2026-06-11 18:31:45
92.8,3.64,2026-06-11 18:31:45
92.8,3.06,2026-06-11 18:31:45
92.8,3.31,2026-06-11 18:31:45
92.8,-3.65,2026-06-11 18:31:45
92.8,-1.69,2026-06-11 18:31:45
92.8,-2.49,2026-06-11 18:31:45
92.8,-0.24,2026-06-11 18:31:45
92.8,5.02,2026-06-11 18:31:45
92.8,-3.37,2026-06-11 18:31:45
92.8,3.4,2026-06-11 18:31:45
92.8,-7.29,2026-06-11 18:31:45
92.8,4.34,2026-06-11 18:31:45
92.8,-0.15,2026-06-11 18:31:45
92.8,-8.55,2026-06-11 18:31:45
92.8,2.82,2026-06-11 18:31:45
92.8,-7.28,2026-06-11 18:31:45
92.8,0.27,2026-06-11 18:31:45
92.8,-3.02,2026-06-11 18:31:45
92.8,-6.46,2026-06-11 18:31:45
92.8,-6.57,2026-06-11 18:31:45
92.8,4.2,2026-06-11 18:31:45
92.8,-8.68,2026-06-11 18:31:45
92.8,7.34,2026-06-11 18:31:45
92.8,-5.6,2026-06-11 18:31:45
92.8,-5.39,2026-06-11 18:31:45
92.8,-5.11,2026-06-11 18:31:45
92.8,0.38,2026-06-11 18:31:45
92.8,5.4,2026-06-11 18:31:45
92.8,0.58,2026-06-11 18:31:45
92.8,3.4,2026-06-11 18:31:45
92.8,-3.64,2026-06-11 18:31:45
92.8,1.61,2026-06-11 18:31:45
92.8,-2.8,2026-06-11 18:31:45
92.8,-4.93,2026-06-11 18:31:45
92.8,-8.08,2026-06-11 18:31:45
92.8,3.5,2026-06-11 18:31:45
92.8,0.6,2026-06-11 18:31:45
92.8,-0.34,2026-06-11 18:31:45
92.8,-0.11,2026-06-11 18:31:45
92.8,7.37,2026-06-11 18:31:45
