Frequency (MHz),Power (dB),Timestamp
87.5,-29.54,2026-06-11 18:14:54
87.6,-29.51,2026-06-11 18:14:54
87.7,-29.52,2026-06-11 18:14:54
87.8,-29.52,2026-06-11 18:14:54
87.9,-29.54,2026-06-11 18:14:54
88.0,-29.52,2026-06-11 18:14:54
88.1,-29.52,2026-06-11 18:14:54
88.2,-29.51,2026-06-11 18:14:54
88.3,-29.51,2026-06-11 18:14:54
88.4,-29.5,2026-06-11 18:14:54
88.5,-53.01,2026-06-11 18:14:54
88.6,-100.0,2026-06-11 18:14:54
88.7,-100.0,2026-06-11 18:14:54
88.8,-100.0,2026-06-11 18:14:54
88.9,-100.0,2026-06-11 18:14:54
89.0,-100.0,2026-06-11 18:14:54
89.1,-100.0,2026-06-11 18:14:54
89.2,-100.0,2026-06-11 18:14:54
89.3,-100.0,2026-06-11 18:14:54
89.4,-100.0,2026-06-11 18:14:54
89.5,-29.49,2026-06-11 18:14:54
89.6,-29.49,2026-06-11 18:14:54
89.7,-29.53,2026-06-11 18:14:54
89.8,-29.53,2026-06-11 18:14:54
89.9,-29.55,2026-06-11 18:14:54
90.0,-29.53,2026-06-11 18:14:54
90.1,-29.54,2026-06-11 18:14:54
90.2,-29.53,2026-06-11 18:14:54
90.3,-29.52,2026-06-11 18:14:54
90.4,-29.52,2026-06-11 18:14:54
90.5,-29.52,2026-06-11 18:14:54
90.6,-29.53,2026-06-11 18:14:54
90.7,-29.55,2026-06-11 18:14:54
90.8,-29.53,2026-06-11 18:14:54
90.9,-29.57,2026-06-11 18:14:54
91.0,-29.5,2026-06-11 18:14:54
91.1,-29.53,2026-06-11 18:14:54
91.2,-29.54,2026-06-11 18:14:54
91.3,-29.54,2026-06-11 18:14:54
91.4,-29.55,2026-06-11 18:14:54
91.5,-29.53,2026-06-11 18:14:54
91.6,-29.53,2026-06-11 18:14:54
91.7,-29.53,2026-06-11 18:14:54
91.8,-29.56,2026-06-11 18:14:54
91.9,-29.53,2026-06-11 18:14:54
92.0,-29.52,2026-06-11 18:14:54
92.1,-29.53,2026-06-11 18:14:54
92.2,-29.52,2026-06-11 18:14:54
92.3,-29.52,2026-06-11 18:14:54
92.4,-29.57,2026-06-11 18:14:54
92.5,-29.51,2026-06-11 18:14:54
92.6,-29.5,2026-06-11 18:14:54
92.7,-29.53,2026-06-11 18:14:54
92.8,-29.47,2026-06-11 18:14:54
92.9,-29.5,2026-06-11 18:14:54
93.0,-29.5,2026-06-11 18:14:54
93.1,-29.56,2026-06-11 18:14:54
93.2,-29.54,2026-06-11 18:14:54
93.3,-29.55,2026-06-11 18:14:54
93.4,-29.54,2026-06-11 18:14:54
93.5,-29.52,2026-06-11 18:14:54
93.6,-29.54,2026-06-11 18:14:54
93.7,-29.54,2026-06-11 18:14:54
93.8,-29.53,2026-06-11 18:14:54
93.9,-29.58,2026-06-11 18:14:54
94.0,-29.56,2026-06-11 18:14:54
94.1,-29.52,2026-06-11 18:14:54
94.2,-29.52,2026-06-11 18:14:54
94.3,-29.54,2026-06-11 18:14:54
94.4,-29.55,2026-06-11 18:14:54
